id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
FLT4	5	0.091223	0.20569	1.0	3480	1	-0.016799	0.14143	0.29003	1.0	5017	2	-0.016799
KPRP	5	0.091279	0.20577	1.0	3481	3	-0.21601	0.87556	0.87668	1.0	15640	1	-0.21601
EEF1B2	3	0.091332	0.16615	1.0	3482	1	0.25829	0.12648	0.21798	1.0	4617	2	0.25829
STX7	5	0.091341	0.20589	1.0	3483	3	-0.31271	0.57814	0.71703	1.0	12603	2	-0.31271
HS6ST2	5	0.09138	0.20593	1.0	3484	1	0.1607	0.1224	0.26107	1.0	4498	3	0.1607
TRAF3IP1	5	0.091478	0.20608	1.0	3485	2	0.18611	0.51242	0.65925	1.0	11604	2	0.18611
FRAT2	5	0.09149	0.2061	1.0	3486	3	-0.21975	0.16762	0.32882	1.0	5645	2	-0.21975
COG1	5	0.091536	0.20617	1.0	3487	1	-0.12745	0.87321	0.87452	1.0	15600	1	-0.12745
B3GALT4	5	0.091557	0.20621	1.0	3488	3	-0.22303	0.94537	0.94557	1.0	16902	0	-0.22303
COL4A3	5	0.09158	0.20624	1.0	3489	3	-0.19917	0.79222	0.81567	1.0	14500	1	-0.19917
INTS10	5	0.091668	0.20637	1.0	3490	3	-0.32218	0.97544	0.97562	1.0	17442	0	-0.32218
TMEM14C	4	0.091673	0.19916	1.0	3491	2	-0.052704	0.343	0.48729	1.0	9040	2	-0.052704
SGOL2	4	0.091705	0.19922	1.0	3492	3	-0.41868	0.98737	0.98745	1.0	17678	0	-0.41868
IVL	5	0.091723	0.20646	1.0	3493	3	-0.25331	0.14526	0.29573	1.0	5114	1	-0.25331
MAN1C1	5	0.091745	0.20649	1.0	3494	1	0.1508	0.37858	0.54635	1.0	9563	1	0.1508
RBKS	5	0.091752	0.2065	1.0	3495	3	-0.26045	0.30459	0.48586	1.0	8479	1	-0.26045
OXR1	12	0.09176	0.27676	1.0	3496	5	-0.00089863	0.45295	0.73756	1.0	10680	4	-0.00089863
SERPINB9	5	0.091786	0.20656	1.0	3497	2	-0.086168	0.45767	0.61251	1.0	10759	2	-0.086168
MYEOV	5	0.091879	0.20671	1.0	3498	3	-0.18994	0.63149	0.73949	1.0	13041	1	-0.18994
API5	5	0.091901	0.20674	1.0	3499	2	0.030027	0.92525	0.92555	1.0	16549	0	0.030027
C16orf71	5	0.091906	0.20675	1.0	3500	3	-0.32794	0.92145	0.92178	1.0	16477	0	-0.32794
FAM117B	5	0.092009	0.20692	1.0	3501	2	-0.012158	0.015645	0.052174	0.98942	941	2	-0.012158
CXorf48	5	0.092057	0.207	1.0	3502	2	0.15498	0.19267	0.36485	1.0	6305	2	0.15498
NRCAM	5	0.092061	0.20701	1.0	3503	2	-0.15692	0.1882	0.35853	1.0	6178	1	-0.15692
GPAM	5	0.092109	0.20709	1.0	3504	2	0.010985	0.55253	0.69432	1.0	12235	1	0.010985
C1orf94	5	0.092161	0.20718	1.0	3505	1	0.062018	0.83393	0.843	1.0	15017	1	0.062018
SMAD2	4	0.092163	0.20005	1.0	3506	3	-0.25367	0.95063	0.9505	1.0	16988	0	-0.25367
SPANXN4	3	0.092168	0.16731	1.0	3507	2	-0.38296	0.080934	0.15813	1.0	3312	1	-0.38296
STRA8	5	0.092203	0.20726	1.0	3508	3	-0.30504	0.94971	0.94989	1.0	16977	0	-0.30504
PRSS16	5	0.092214	0.20727	1.0	3509	1	0.0012757	0.22146	0.40525	1.0	6989	1	0.0012757
LRRC66	5	0.092215	0.20727	1.0	3510	3	-0.46229	0.65348	0.74814	1.0	13199	1	-0.46229
NRG1	18	0.092264	0.31258	1.0	3511	4	0.13183	0.058816	0.23441	1.0	2665	8	0.13183
INS-IGF2	4	0.09236	0.20042	1.0	3512	1	0.16378	0.2908	0.43386	1.0	8277	2	0.16378
SF1	4	0.092397	0.2005	1.0	3513	3	-0.97254	0.53718	0.6346	1.0	12011	1	-0.97254
SYTL2	16	0.0924	0.30183	1.0	3514	7	-0.096327	0.11399	0.35464	1.0	4273	3	-0.096327
PRKACA	5	0.092415	0.20758	1.0	3515	3	-0.37369	0.43627	0.59446	1.0	10421	1	-0.37369
CXCL16	5	0.092421	0.20758	1.0	3516	3	-0.26677	0.30166	0.48355	1.0	8445	2	-0.26677
ADH4	5	0.092422	0.20758	1.0	3517	2	-0.35377	0.91178	0.91212	1.0	16305	0	-0.35377
CHST1	5	0.092438	0.20762	1.0	3518	3	-0.17371	0.63668	0.74153	1.0	13089	1	-0.17371
COLEC12	5	0.09246	0.20765	1.0	3519	3	-0.16598	0.93061	0.93085	1.0	16641	0	-0.16598
TTC23L	5	0.092473	0.20767	1.0	3520	2	0.10385	0.40911	0.57187	1.0	10009	2	0.10385
PLOD2	5	0.092474	0.20768	1.0	3521	1	0.057235	0.09361	0.21664	1.0	3657	2	0.057235
OSBPL7	5	0.092482	0.2077	1.0	3522	3	-0.24744	0.90176	0.90212	1.0	16110	0	-0.24744
PAXBP1	5	0.092526	0.20776	1.0	3523	1	-0.14554	0.93504	0.93527	1.0	16730	0	-0.14554
PIGG	5	0.092578	0.20785	1.0	3524	1	0.3231	0.055216	0.15323	1.0	2524	4	0.3231
RNF170	7	0.092581	0.23447	1.0	3525	1	-0.026664	0.40735	0.62646	1.0	9980	3	-0.026664
DUS1L	5	0.092605	0.20789	1.0	3526	3	-0.31329	0.97134	0.9715	1.0	17376	0	-0.31329
TREML1	11	0.092639	0.27321	1.0	3527	5	-0.18502	0.38668	0.67005	1.0	9669	4	-0.18502
INSL4	5	0.092682	0.20804	1.0	3528	1	0.47679	0.021332	0.067721	1.0	1179	4	0.47679
SPPL2C	5	0.092706	0.20807	1.0	3529	3	-0.25041	0.46683	0.62016	1.0	10907	1	-0.25041
TMC1	5	0.092729	0.20811	1.0	3530	3	-0.33425	0.98114	0.9813	1.0	17558	0	-0.33425
STRAP	5	0.092734	0.20811	1.0	3531	2	0.086629	0.14078	0.28904	1.0	5001	1	0.086629
SLC25A17	5	0.0928	0.20821	1.0	3532	2	-0.089138	0.55205	0.69391	1.0	12227	1	-0.089138
TEX2	4	0.092803	0.20127	1.0	3533	3	-0.16982	0.10858	0.23029	1.0	4094	1	-0.16982
YTHDF2	5	0.092818	0.20824	1.0	3534	3	-0.33983	0.95283	0.95303	1.0	17027	0	-0.33983
ZNF320	5	0.092891	0.20836	1.0	3535	1	-0.13874	0.53095	0.67536	1.0	11887	1	-0.13874
LILRB3	2	0.092906	0.15934	1.0	3536	2	-0.35559	0.90709	0.90687	1.0	16213	0	-0.35559
PIP5K1A	8	0.09291	0.25189	1.0	3537	4	-0.10795	0.56604	0.76807	1.0	12429	2	-0.10795
SLC52A2	5	0.092998	0.20854	1.0	3538	3	-0.25706	0.041149	0.11898	1.0	1939	2	-0.25706
RBM22	4	0.09303	0.20169	1.0	3539	2	-0.29362	0.97408	0.97401	1.0	17422	0	-0.29362
ZNF30	5	0.093093	0.20869	1.0	3540	3	-0.15817	0.53358	0.67765	1.0	11937	1	-0.15817
CD68	5	0.093099	0.20871	1.0	3541	1	0.33348	0.006378	0.025693	0.83283	533	4	0.33348
MLH3	5	0.093132	0.20876	1.0	3542	3	-0.32645	0.47184	0.62447	1.0	10981	1	-0.32645
FTH1	1	0.093205	0.09318	1.0	3543	1	-2.2665	0.9068	0.90734	1.0	16204	0	-2.2665
PITHD1	5	0.09329	0.209	1.0	3544	3	-0.31443	0.16629	0.32684	1.0	5613	1	-0.31443
DUOX2	5	0.093307	0.20903	1.0	3545	2	-0.10979	0.98286	0.98297	1.0	17594	0	-0.10979
IRAK3	5	0.093334	0.20908	1.0	3546	2	-0.30343	0.1891	0.3598	1.0	6205	2	-0.30343
IZUMO2	5	0.093357	0.20912	1.0	3547	3	-0.39976	0.98068	0.98085	1.0	17545	0	-0.39976
WWC1	5	0.093359	0.20913	1.0	3548	2	-0.093284	0.9538	0.95401	1.0	17052	0	-0.093284
SV2B	5	0.093506	0.20937	1.0	3549	2	-0.13675	0.94501	0.9452	1.0	16894	0	-0.13675
GABRG2	4	0.093518	0.20255	1.0	3550	3	-0.27402	0.97819	0.97826	1.0	17495	0	-0.27402
RYR3	5	0.093567	0.20946	1.0	3551	3	-0.27808	0.94754	0.94773	1.0	16940	0	-0.27808
TMEM138	5	0.09361	0.20953	1.0	3552	3	-0.22744	0.99291	0.99296	1.0	17765	0	-0.22744
AKR1C2	4	0.093615	0.20274	1.0	3553	1	-0.13989	0.96572	0.9656	1.0	17254	0	-0.13989
RAB3A	5	0.093619	0.20955	1.0	3554	2	0.068238	0.62502	0.73704	1.0	12986	1	0.068238
TMPRSS15	5	0.093645	0.20959	1.0	3555	2	-0.24327	0.94463	0.94482	1.0	16888	0	-0.24327
UXT	5	0.093717	0.2097	1.0	3556	3	-0.44947	0.86743	0.86934	1.0	15498	1	-0.44947
ATP1A4	10	0.093787	0.26692	1.0	3557	3	-0.037631	0.25813	0.5319	1.0	7751	3	-0.037631
ERCC6L2	5	0.093796	0.20983	1.0	3558	3	-0.2839	0.48197	0.63306	1.0	11121	2	-0.2839
ZNF780B	5	0.09383	0.20987	1.0	3559	3	-0.32698	0.76271	0.79881	1.0	14161	1	-0.32698
TADA2A	4	0.093903	0.20326	1.0	3560	2	-0.12587	0.2854	0.42835	1.0	8167	2	-0.12587
CC2D2A	13	0.093924	0.29194	1.0	3561	4	-0.0099828	0.066701	0.23266	1.0	2884	5	-0.0099828
SLC16A5	5	0.093931	0.21004	1.0	3562	2	-0.13942	0.80104	0.82105	1.0	14600	1	-0.13942
EIF3A	5	0.093938	0.21005	1.0	3563	2	0.30382	0.29092	0.47488	1.0	8280	2	0.30382
FBXO11	5	0.093956	0.21007	1.0	3564	2	-0.086584	0.064269	0.16979	1.0	2821	1	-0.086584
ARSI	5	0.093976	0.21011	1.0	3565	3	-0.1877	0.65548	0.74893	1.0	13219	1	-0.1877
DCAF13	5	0.094035	0.21021	1.0	3566	2	-0.071866	0.76781	0.80155	1.0	14226	1	-0.071866
VKORC1	6	0.094067	0.23494	1.0	3567	4	-0.15135	0.062756	0.17181	1.0	2782	2	-0.15135
CLEC1B	5	0.094077	0.21029	1.0	3568	2	0.054618	0.6424	0.74377	1.0	13115	1	0.054618
CD55	5	0.094087	0.2103	1.0	3569	2	-0.12294	0.97717	0.97734	1.0	17470	0	-0.12294
UBOX5	5	0.094089	0.2103	1.0	3570	3	-0.17908	0.74399	0.7889	1.0	13966	1	-0.17908
UBE2T	5	0.094112	0.21034	1.0	3571	3	-0.35169	0.95437	0.95458	1.0	17060	0	-0.35169
SAMD5	5	0.094129	0.21037	1.0	3572	3	-0.23893	0.90977	0.91015	1.0	16264	0	-0.23893
HMOX1	5	0.094163	0.21042	1.0	3573	2	-0.10671	0.77482	0.80551	1.0	14297	1	-0.10671
CPEB4	5	0.094191	0.21047	1.0	3574	3	-0.22211	0.33343	0.50926	1.0	8906	1	-0.22211
CBX7	5	0.094215	0.21052	1.0	3575	2	-0.0039403	0.19721	0.37132	1.0	6424	2	-0.0039403
LNX2	5	0.094225	0.21053	1.0	3576	3	-0.32139	0.26684	0.4556	1.0	7892	1	-0.32139
FAM218A	5	0.094236	0.21055	1.0	3577	3	-0.2143	0.4798	0.63121	1.0	11083	1	-0.2143
SLC16A14	5	0.094259	0.21059	1.0	3578	3	-0.23549	0.38402	0.55087	1.0	9633	1	-0.23549
LSM4	6	0.094262	0.23536	1.0	3579	3	-0.52595	0.42675	0.62118	1.0	10260	2	-0.52595
C11orf31	5	0.094281	0.21063	1.0	3580	3	-0.21528	0.49865	0.64735	1.0	11389	2	-0.21528
TTC22	5	0.094349	0.21074	1.0	3581	3	-0.20928	0.50023	0.64869	1.0	11413	2	-0.20928
PRR22	5	0.094354	0.21075	1.0	3582	3	-0.1381	0.86664	0.86868	1.0	15487	1	-0.1381
FAM83H	5	0.094406	0.21083	1.0	3583	2	0.13459	0.4035	0.56714	1.0	9914	2	0.13459
MCM3AP	5	0.094423	0.21085	1.0	3584	3	-0.65798	0.95519	0.95538	1.0	17066	0	-0.65798
PIAS2	4	0.094452	0.20427	1.0	3585	1	0.36198	0.081403	0.18132	1.0	3323	3	0.36198
YPEL2	5	0.094458	0.21091	1.0	3586	2	-0.026343	0.87458	0.87578	1.0	15626	1	-0.026343
TRMT11	4	0.094491	0.20433	1.0	3587	3	-0.36061	0.89309	0.89268	1.0	15941	0	-0.36061
INTS1	5	0.094575	0.21111	1.0	3588	3	-0.26202	0.87812	0.87901	1.0	15687	1	-0.26202
POLR1B	5	0.094579	0.21112	1.0	3589	2	-0.0079323	0.62086	0.73549	1.0	12956	1	-0.0079323
MCAM	5	0.094711	0.21132	1.0	3590	3	-0.1921	0.59835	0.72736	1.0	12782	1	-0.1921
SETDB2	5	0.094867	0.21158	1.0	3591	2	-0.20144	0.43142	0.5904	1.0	10332	2	-0.20144
ZNF534	3	0.094875	0.17105	1.0	3592	1	0.21783	0.3499	0.45675	1.0	9119	1	0.21783
C8orf74	4	0.094911	0.20515	1.0	3593	1	0.17573	0.01631	0.052859	0.994274	956	2	0.17573
ALG10	3	0.094941	0.17114	1.0	3594	2	-0.63837	0.52048	0.56094	1.0	11723	1	-0.63837
ABCA9	4	0.094942	0.2052	1.0	3595	2	-0.16845	0.41924	0.56563	1.0	10160	1	-0.16845
IL12RB1	5	0.094971	0.21175	1.0	3596	3	-0.23463	0.52035	0.6661	1.0	11721	1	-0.23463
SACM1L	5	0.094995	0.21178	1.0	3597	3	-0.89043	0.18045	0.34734	1.0	5972	2	-0.89043
TJP1	5	0.095023	0.21182	1.0	3598	2	0.02019	0.53303	0.67718	1.0	11928	1	0.02019
PCDHA11	5	0.095075	0.21192	1.0	3599	1	-0.04252	0.24923	0.44152	1.0	7618	2	-0.04252
EMID1	5	0.095119	0.21199	1.0	3600	3	-0.3985	0.22371	0.40843	1.0	7048	1	-0.3985
RAP2A	5	0.095179	0.2121	1.0	3601	2	-0.024816	0.48984	0.63973	1.0	11242	2	-0.024816
PPP1R12B	12	0.09519	0.2836	1.0	3602	4	-0.022901	0.76878	0.91165	1.0	14233	3	-0.022901
TUBAL3	5	0.095204	0.21214	1.0	3603	2	0.34784	0.070132	0.17921	1.0	2981	3	0.34784
EGLN2	5	0.095325	0.21236	1.0	3604	2	0.082165	0.44494	0.60171	1.0	10548	1	0.082165
LY6G5B	4	0.095329	0.20591	1.0	3605	1	0.0063035	0.35971	0.50447	1.0	9287	2	0.0063035
CD84	7	0.095343	0.23956	1.0	3606	4	-0.20582	0.67507	0.80526	1.0	13359	1	-0.20582
SLC40A1	5	0.095369	0.21246	1.0	3607	3	-0.31697	0.94921	0.94941	1.0	16967	0	-0.31697
IFNG	4	0.095379	0.206	1.0	3608	3	-0.60533	0.42974	0.57646	1.0	10303	1	-0.60533
OPCML	5	0.095438	0.21256	1.0	3609	3	-0.25649	0.5627	0.70334	1.0	12379	1	-0.25649
TMEM234	5	0.095438	0.21256	1.0	3610	2	-0.11884	0.85792	0.86126	1.0	15351	1	-0.11884
PCK1	5	0.095447	0.21257	1.0	3611	2	-0.11336	0.61641	0.73389	1.0	12922	1	-0.11336
STX17	5	0.095472	0.21261	1.0	3612	3	-0.37222	0.39926	0.56364	1.0	9847	1	-0.37222
TBCC	5	0.095483	0.21262	1.0	3613	3	-0.23241	0.43374	0.59233	1.0	10375	2	-0.23241
KRTAP13-3	4	0.095517	0.20627	1.0	3614	3	-0.19046	0.75235	0.76212	1.0	14042	1	-0.19046
SLCO2B1	5	0.095534	0.2127	1.0	3615	2	-0.11497	0.36539	0.53539	1.0	9366	1	-0.11497
ACOT9	4	0.095538	0.20631	1.0	3616	2	-0.080826	0.90656	0.90624	1.0	16197	0	-0.080826
IDNK	5	0.095542	0.21272	1.0	3617	1	0.16352	0.16676	0.32754	1.0	5624	3	0.16352
SLC16A4	7	0.095578	0.23996	1.0	3618	3	-0.07597	0.61649	0.7701	1.0	12924	2	-0.07597
COPS6	5	0.095586	0.21279	1.0	3619	3	-0.51792	0.60988	0.73147	1.0	12874	1	-0.51792
ZDHHC20	5	0.095603	0.21282	1.0	3620	3	-0.31005	0.80142	0.82127	1.0	14609	1	-0.31005
GSAP	5	0.095642	0.21289	1.0	3621	3	-0.5776	0.16916	0.3311	1.0	5687	2	-0.5776
GNL3L	5	0.095654	0.21291	1.0	3622	3	-0.5827	0.88008	0.88083	1.0	15716	1	-0.5827
CCHCR1	5	0.095665	0.21292	1.0	3623	3	-0.17093	0.75797	0.79622	1.0	14109	1	-0.17093
PTPN4	5	0.09569	0.21297	1.0	3624	2	-0.064118	0.86307	0.86557	1.0	15420	1	-0.064118
ELK4	5	0.095725	0.21302	1.0	3625	2	0.26293	0.12991	0.27255	1.0	4717	3	0.26293
PTGFRN	5	0.095802	0.21315	1.0	3626	2	-0.075866	0.23365	0.42229	1.0	7298	2	-0.075866
ANO9	5	0.095864	0.21324	1.0	3627	3	-0.17428	0.92711	0.92739	1.0	16580	0	-0.17428
ADAMTS16	5	0.09587	0.21325	1.0	3628	3	-0.26693	0.95859	0.95877	1.0	17124	0	-0.26693
SCO1	4	0.095914	0.207	1.0	3629	2	-0.14406	0.4277	0.57433	1.0	10272	1	-0.14406
ZBTB49	5	0.095917	0.21334	1.0	3630	3	-0.2341	0.37123	0.54027	1.0	9449	2	-0.2341
SMIM19	3	0.095932	0.17246	1.0	3631	2	-0.63499	0.35893	0.46188	1.0	9271	1	-0.63499
TSPAN4	5	0.095934	0.21336	1.0	3632	2	0.19898	0.1481	0.29993	1.0	5178	3	0.19898
FZD3	5	0.095969	0.21341	1.0	3633	3	-0.24802	0.22944	0.41645	1.0	7185	1	-0.24802
TBC1D9	5	0.09601	0.21348	1.0	3634	2	0.022954	0.93241	0.93266	1.0	16676	0	0.022954
UBB	2	0.096097	0.16435	1.0	3635	1	-1.8885	0.6886	0.68823	1.0	13467	0	-1.8885
COLGALT2	5	0.09611	0.21365	1.0	3636	3	-0.17456	0.32338	0.501	1.0	8773	2	-0.17456
KCTD9	3	0.09612	0.17272	1.0	3637	2	-0.53225	0.70737	0.70833	1.0	13643	1	-0.53225
ANKRD10	5	0.096143	0.2137	1.0	3638	2	-0.12454	0.94901	0.94922	1.0	16965	0	-0.12454
SPINK2	8	0.096158	0.25723	1.0	3639	3	0.080036	0.71373	0.84334	1.0	13702	2	0.080036
DQX1	5	0.096165	0.21373	1.0	3640	1	0.13685	0.46391	0.61769	1.0	10859	2	0.13685
SETDB1	5	0.096178	0.21375	1.0	3641	3	-0.17247	0.77317	0.80458	1.0	14275	1	-0.17247
IFT46	5	0.09623	0.21385	1.0	3642	2	-0.10532	0.78465	0.81123	1.0	14407	1	-0.10532
RETN	5	0.096321	0.21399	1.0	3643	2	-0.048962	0.77355	0.80479	1.0	14281	1	-0.048962
GIN1	5	0.09635	0.21402	1.0	3644	3	-0.41569	0.58747	0.72343	1.0	12706	1	-0.41569
KIAA0947	4	0.096447	0.20799	1.0	3645	3	-0.46572	0.9233	0.92313	1.0	16512	0	-0.46572
HIST1H4I	4	0.096456	0.208	1.0	3646	2	-0.27051	0.27866	0.42149	1.0	8064	1	-0.27051
NMS	5	0.096464	0.21421	1.0	3647	3	-0.2293	0.82922	0.83962	1.0	14958	1	-0.2293
MED20	5	0.096529	0.21432	1.0	3648	2	-0.0053608	0.86398	0.86632	1.0	15442	1	-0.0053608
SPIN2B	2	0.096546	0.16505	1.0	3649	1	-0.48024	0.48808	0.49309	1.0	11217	1	-0.48024
PTS	5	0.096581	0.21442	1.0	3650	3	-0.17191	0.55526	0.69678	1.0	12271	2	-0.17191
WDR45	5	0.096601	0.21446	1.0	3651	3	-0.30284	0.092005	0.21413	1.0	3607	2	-0.30284
FAM217A	5	0.096632	0.2145	1.0	3652	1	-0.029925	0.69945	0.7677	1.0	13565	1	-0.029925
TMEM98	5	0.096736	0.21467	1.0	3653	1	0.058243	0.30446	0.48577	1.0	8478	2	0.058243
HIP1	5	0.096737	0.21467	1.0	3654	2	0.11738	0.21372	0.39454	1.0	6811	2	0.11738
KARS	5	0.096739	0.21468	1.0	3655	3	-0.34597	0.11862	0.25547	1.0	4396	2	-0.34597
ARPC1B	5	0.096819	0.21483	1.0	3656	3	-0.25777	0.94068	0.94086	1.0	16820	0	-0.25777
FAM32A	4	0.096853	0.20871	1.0	3657	3	-0.19902	0.94126	0.9411	1.0	16827	0	-0.19902
DACT3	5	0.096876	0.21493	1.0	3658	2	-0.03238	0.92025	0.92058	1.0	16460	0	-0.03238
COL15A1	5	0.096894	0.21496	1.0	3659	2	-0.0735	0.083271	0.20024	1.0	3367	2	-0.0735
C2CD4D	5	0.096944	0.21503	1.0	3660	2	-0.17511	0.56125	0.70208	1.0	12355	2	-0.17511
NEFM	5	0.096957	0.21506	1.0	3661	3	-0.4927	0.95838	0.95856	1.0	17119	0	-0.4927
SLC2A7	5	0.096964	0.21508	1.0	3662	2	-0.020467	0.48793	0.63814	1.0	11212	2	-0.020467
MYO18A	5	0.096996	0.21513	1.0	3663	1	0.023983	0.49634	0.64534	1.0	11349	1	0.023983
TSPEAR	5	0.097047	0.21521	1.0	3664	2	0.081807	0.59732	0.72699	1.0	12777	1	0.081807
SNAPC2	5	0.097156	0.21539	1.0	3665	2	0.12886	0.068264	0.17617	1.0	2926	2	0.12886
GABRA2	5	0.097221	0.21549	1.0	3666	3	-0.45894	0.94333	0.94351	1.0	16870	0	-0.45894
GPR68	5	0.097255	0.21555	1.0	3667	2	0.049509	0.44142	0.59874	1.0	10500	2	0.049509
MPP2	5	0.097255	0.21555	1.0	3668	3	-0.3223	0.91149	0.91186	1.0	16298	0	-0.3223
CACNB4	5	0.097279	0.21559	1.0	3669	2	-0.1299	0.70089	0.76836	1.0	13576	1	-0.1299
AJAP1	5	0.097307	0.21563	1.0	3670	1	-0.018004	0.90942	0.90979	1.0	16256	0	-0.018004
ADD3	5	0.097331	0.21568	1.0	3671	2	0.27634	0.16741	0.3285	1.0	5640	3	0.27634
RACGAP1	5	0.097471	0.2159	1.0	3672	2	-0.30692	0.21174	0.39182	1.0	6773	1	-0.30692
RALGPS2	5	0.097485	0.21591	1.0	3673	3	-0.42208	0.44021	0.59774	1.0	10484	2	-0.42208
COL2A1	5	0.097507	0.21595	1.0	3674	2	-0.096455	0.14257	0.29174	1.0	5051	1	-0.096455
C17orf99	5	0.097514	0.21596	1.0	3675	2	-0.10927	0.18194	0.34949	1.0	6012	2	-0.10927
TMEM225	4	0.09754	0.20997	1.0	3676	3	-0.23773	0.064282	0.14911	1.0	2822	1	-0.23773
POLM	5	0.097559	0.21605	1.0	3677	2	-0.073696	0.43457	0.59305	1.0	10396	2	-0.073696
HOXD12	5	0.097566	0.21607	1.0	3678	3	-0.25906	0.79762	0.81891	1.0	14558	1	-0.25906
TNK2	5	0.097618	0.21615	1.0	3679	3	-0.21132	0.13563	0.2812	1.0	4871	1	-0.21132
SPRY1	5	0.097629	0.21617	1.0	3680	2	0.098031	0.078887	0.19322	1.0	3241	2	0.098031
CASZ1	5	0.09767	0.21624	1.0	3681	1	0.24848	0.089698	0.21052	1.0	3546	3	0.24848
ATIC	5	0.097721	0.21634	1.0	3682	1	0.091424	0.86402	0.86636	1.0	15443	1	0.091424
CRTAM	5	0.097761	0.21639	1.0	3683	3	-0.26324	0.57165	0.71133	1.0	12514	1	-0.26324
IP6K1	5	0.097787	0.21642	1.0	3684	3	-0.35391	0.72942	0.78166	1.0	13835	1	-0.35391
LOC101059918	1	0.09782	0.097778	1.0	3685	1	-0.55463	0.90218	0.90274	1.0	16119	0	-0.55463
ACSF3	5	0.097822	0.21649	1.0	3686	3	-0.16824	0.58326	0.7216	1.0	12665	1	-0.16824
AMD1	5	0.09784	0.21652	1.0	3687	2	0.19618	0.36921	0.53852	1.0	9422	2	0.19618
NOC4L	5	0.097877	0.21657	1.0	3688	3	-0.37968	0.96572	0.96593	1.0	17255	0	-0.37968
ARF6	4	0.097903	0.21061	1.0	3689	3	-0.30459	0.56317	0.6472	1.0	12387	1	-0.30459
UPK3BL	5	0.09791	0.21663	1.0	3690	2	0.091913	0.88901	0.8895	1.0	15868	1	0.091913
CNPY1	2	0.097912	0.16721	1.0	3691	2	-0.25711	0.90209	0.90176	1.0	16115	0	-0.25711
MAP1LC3B2	2	0.097915	0.16721	1.0	3692	1	-1.838	0.72523	0.72475	1.0	13795	0	-1.838
PKLR	5	0.097927	0.21666	1.0	3693	2	0.1392	0.57527	0.7145	1.0	12567	2	0.1392
ATXN2	5	0.097929	0.21666	1.0	3694	2	0.012833	0.87771	0.87865	1.0	15683	1	0.012833
CD79B	8	0.097974	0.26026	1.0	3695	4	-0.086281	0.5883	0.78545	1.0	12714	2	-0.086281
ARHGAP30	5	0.097992	0.21675	1.0	3696	3	-0.2056	0.89432	0.89479	1.0	15964	0	-0.2056
IGSF11	5	0.098032	0.21683	1.0	3697	1	-0.056568	0.84657	0.85231	1.0	15198	1	-0.056568
MTA2	5	0.098096	0.21692	1.0	3698	3	-0.25569	0.9412	0.94139	1.0	16826	0	-0.25569
DCTN2	5	0.098107	0.21693	1.0	3699	3	-0.35187	0.38505	0.55174	1.0	9653	1	-0.35187
HCN3	3	0.098126	0.17537	1.0	3700	1	-0.047688	0.30623	0.43311	1.0	8503	1	-0.047688
KRT74	5	0.098188	0.21706	1.0	3701	3	-0.23095	0.43403	0.59259	1.0	10379	1	-0.23095
KIF1C	5	0.098208	0.2171	1.0	3702	3	-0.16222	0.4297	0.58894	1.0	10302	2	-0.16222
ASB11	5	0.09824	0.21715	1.0	3703	2	-0.12198	0.33988	0.51449	1.0	8987	2	-0.12198
ZFAND1	5	0.098246	0.21716	1.0	3704	3	-0.40557	0.98568	0.9858	1.0	17640	0	-0.40557
MAP3K12	5	0.098292	0.21724	1.0	3705	1	0.052324	0.25438	0.44557	1.0	7704	2	0.052324
DENND2C	5	0.098296	0.21725	1.0	3706	2	0.047167	0.45788	0.61269	1.0	10762	2	0.047167
RASGRF1	5	0.098343	0.21732	1.0	3707	2	0.095279	0.87351	0.8748	1.0	15605	1	0.095279
ADAMTS14	5	0.098366	0.21736	1.0	3708	3	-0.24106	0.10264	0.23086	1.0	3920	2	-0.24106
CEP104	3	0.098391	0.17575	1.0	3709	2	-0.36497	0.79305	0.79306	1.0	14510	0	-0.36497
ROBO1	5	0.098395	0.2174	1.0	3710	3	-0.16673	0.36652	0.53629	1.0	9380	1	-0.16673
INTS9	5	0.098447	0.21749	1.0	3711	3	-0.51789	0.79278	0.81601	1.0	14506	1	-0.51789
KIAA1522	4	0.098472	0.21164	1.0	3712	3	-0.18297	0.6231	0.67879	1.0	12973	1	-0.18297
GEN1	5	0.098472	0.21753	1.0	3713	3	-0.56406	0.98916	0.98925	1.0	17701	0	-0.56406
KCNA2	5	0.098477	0.21754	1.0	3714	3	-0.74607	0.20229	0.37858	1.0	6561	1	-0.74607
MYL7	5	0.098499	0.21758	1.0	3715	1	0.025383	0.37356	0.5422	1.0	9484	1	0.025383
ZFP28	4	0.098621	0.2119	1.0	3716	3	-0.21403	0.64568	0.6915	1.0	13139	1	-0.21403
SLX4IP	5	0.098674	0.21786	1.0	3717	3	-0.196	0.5078	0.65531	1.0	11531	2	-0.196
PRR25	5	0.098706	0.21792	1.0	3718	1	-0.01197	0.069666	0.17845	1.0	2970	2	-0.01197
ELOVL4	5	0.098731	0.21795	1.0	3719	3	-0.56671	0.3585	0.52971	1.0	9266	2	-0.56671
ASCL5	5	0.098743	0.21797	1.0	3720	3	-0.25585	0.31455	0.49394	1.0	8624	1	-0.25585
