GENE	sumZ	numObs	normZ	pval_synth	rank_synth	fdr_synth	pval_supp	rank_supp	fdr_supp
ADAL	-1.52	5	-0.44	0.332	5173	0.949	0.668	12829	0.934
PERP	-1.52	5	-0.44	0.332	5174	0.949	0.668	12828	0.934
UBASH3A	-1.52	5	-0.44	0.332	5175	0.949	0.668	12827	0.934
CHMP4C	-1.52	5	-0.43	0.332	5176	0.949	0.668	12826	0.934
NSG1	-1.52	5	-0.43	0.332	5177	0.949	0.668	12825	0.934
PDZD7	-1.52	5	-0.43	0.332	5178	0.949	0.668	12824	0.934
BOD1L1	-1.52	5	-0.43	0.332	5179	0.949	0.668	12823	0.934
SPEF2	-1.52	5	-0.43	0.332	5180	0.949	0.668	12822	0.934
CLLU1OS	-1.52	5	-0.43	0.332	5181	0.949	0.668	12821	0.934
CBX5	-1.52	5	-0.43	0.332	5182	0.949	0.668	12820	0.934
ITPRIPL2	-1.52	5	-0.43	0.332	5183	0.949	0.668	12819	0.934
SFTPA1	-1.36	4	-0.43	0.332	5184	0.949	0.668	12818	0.934
CTDSPL2	-1.52	5	-0.43	0.333	5185	0.949	0.667	12817	0.934
RGS9	-1.52	5	-0.43	0.333	5186	0.949	0.667	12816	0.934
CSHL1	-1.66	6	-0.43	0.333	5187	0.949	0.667	12815	0.934
VSIG8	-1.52	5	-0.43	0.333	5188	0.949	0.667	12814	0.934
ST6GAL1	-2.03	9	-0.43	0.333	5189	0.949	0.667	12813	0.934
SLITRK6	-1.51	5	-0.43	0.333	5190	0.949	0.667	12812	0.934
RBM12	-1.51	5	-0.43	0.333	5191	0.949	0.667	12811	0.934
PKDREJ	-1.51	5	-0.43	0.333	5192	0.949	0.667	12810	0.934
DDX55	-1.51	5	-0.43	0.333	5193	0.949	0.667	12809	0.934
LRRIQ1	-1.51	5	-0.43	0.333	5194	0.949	0.667	12808	0.934
RNFT1	-1.51	5	-0.43	0.333	5195	0.949	0.667	12807	0.934
LYZL6	-1.51	5	-0.43	0.333	5196	0.949	0.667	12806	0.934
HRH4	-1.51	5	-0.43	0.333	5197	0.949	0.667	12805	0.934
TPST1	-1.51	5	-0.43	0.333	5198	0.949	0.667	12804	0.934
EVX1	-1.51	5	-0.43	0.333	5199	0.949	0.667	12803	0.934
EIF4E2	-1.51	5	-0.43	0.333	5200	0.949	0.667	12802	0.934
SIX2	-1.51	5	-0.43	0.333	5201	0.949	0.667	12801	0.934
ZNF709	-1.51	5	-0.43	0.333	5202	0.949	0.667	12800	0.934
SLC16A13	-1.51	5	-0.43	0.333	5203	0.949	0.667	12799	0.934
SLC25A45	-1.51	5	-0.43	0.333	5204	0.949	0.667	12798	0.934
NXT1	-1.51	5	-0.43	0.333	5205	0.949	0.667	12797	0.934
DCAF4L2	-1.51	5	-0.43	0.334	5206	0.949	0.666	12796	0.934
MAGEA10	-1.51	5	-0.43	0.334	5207	0.949	0.666	12795	0.934
FAM205A	-1.51	5	-0.43	0.334	5208	0.949	0.666	12794	0.934
CLDN15	-1.51	5	-0.43	0.334	5209	0.949	0.666	12793	0.934
S1PR2	-1.51	5	-0.43	0.334	5210	0.949	0.666	12792	0.934
KRTAP9-1	-1.17	3	-0.43	0.334	5211	0.949	0.666	12791	0.934
SSNA1	-1.51	5	-0.43	0.334	5212	0.949	0.666	12790	0.934
MAPK14	-1.51	5	-0.43	0.334	5213	0.949	0.666	12789	0.934
NONO	-1.51	5	-0.43	0.334	5214	0.949	0.666	12788	0.934
LIX1L	-1.51	5	-0.43	0.334	5215	0.949	0.666	12787	0.934
MAU2	-1.51	5	-0.43	0.334	5216	0.949	0.666	12786	0.934
TM4SF20	-1.51	5	-0.43	0.334	5217	0.949	0.666	12785	0.934
SETD4	-1.51	5	-0.43	0.334	5218	0.949	0.666	12784	0.934
NIPSNAP3B	-1.51	5	-0.43	0.334	5219	0.949	0.666	12783	0.934
ZNF23	-1.50	5	-0.43	0.334	5220	0.949	0.666	12782	0.934
PIK3C3	-1.50	5	-0.43	0.334	5221	0.949	0.666	12781	0.934
SLC35A1	-1.50	5	-0.43	0.334	5222	0.949	0.666	12780	0.934
CD79B	-1.90	8	-0.43	0.334	5223	0.949	0.666	12779	0.934
OGFRL1	-1.50	5	-0.43	0.334	5224	0.949	0.666	12778	0.934
ERAL1	-1.50	5	-0.43	0.334	5225	0.949	0.666	12777	0.934
UAP1L1	-1.50	5	-0.43	0.334	5226	0.949	0.666	12776	0.934
ING4	-1.50	5	-0.43	0.335	5227	0.949	0.665	12775	0.934
CHORDC1	-1.50	5	-0.43	0.335	5228	0.949	0.665	12774	0.934
SOAT2	-1.50	5	-0.43	0.335	5229	0.949	0.665	12773	0.934
B4GALNT4	-1.50	5	-0.43	0.335	5230	0.949	0.665	12772	0.934
PI4KA	-1.50	5	-0.43	0.335	5231	0.949	0.665	12771	0.934
MAGEA3	-0.95	2	-0.43	0.335	5232	0.949	0.665	12770	0.934
SUPT3H	-1.50	5	-0.43	0.335	5233	0.949	0.665	12769	0.934
LAD1	-1.50	5	-0.43	0.335	5234	0.949	0.665	12768	0.934
FAM71E1	-1.50	5	-0.43	0.335	5235	0.949	0.665	12767	0.934
CCDC67	-1.34	4	-0.43	0.335	5236	0.949	0.665	12766	0.934
OSBP2	-1.50	5	-0.43	0.335	5237	0.949	0.665	12765	0.934
USHBP1	-1.50	5	-0.43	0.335	5238	0.949	0.665	12764	0.934
BTG3	-1.34	4	-0.43	0.335	5239	0.949	0.665	12763	0.934
SLC28A2	-1.50	5	-0.43	0.335	5240	0.949	0.665	12762	0.934
APOA4	-1.50	5	-0.43	0.335	5241	0.949	0.665	12761	0.934
HSD17B6	-1.50	5	-0.43	0.335	5242	0.949	0.665	12760	0.934
RPUSD2	-1.50	5	-0.43	0.335	5243	0.949	0.665	12759	0.934
PDGFB	-1.50	5	-0.43	0.335	5244	0.949	0.665	12758	0.934
C19orf81	-1.50	5	-0.43	0.335	5245	0.949	0.665	12757	0.934
PRRC2A	-1.50	5	-0.43	0.335	5246	0.949	0.665	12756	0.934
BNIP3L	-1.50	5	-0.43	0.335	5247	0.949	0.665	12755	0.934
ATIC	-1.50	5	-0.43	0.335	5248	0.949	0.665	12754	0.934
EXOC6	-1.50	5	-0.42	0.336	5249	0.949	0.664	12753	0.934
RHOC	-1.49	5	-0.42	0.336	5250	0.949	0.664	12752	0.934
BEX1	-1.49	5	-0.42	0.336	5251	0.949	0.664	12751	0.934
CSNK2A1	-1.49	5	-0.42	0.336	5252	0.949	0.664	12750	0.934
MORN2	-1.49	5	-0.42	0.336	5253	0.949	0.664	12749	0.934
KCNAB1	-1.49	5	-0.42	0.336	5254	0.949	0.664	12748	0.934
SAMD3	-1.49	5	-0.42	0.336	5255	0.949	0.664	12747	0.934
C12orf10	-1.49	5	-0.42	0.336	5256	0.949	0.664	12746	0.934
NEB	-1.49	5	-0.42	0.336	5257	0.949	0.664	12745	0.934
WDFY1	-1.49	5	-0.42	0.336	5258	0.949	0.664	12744	0.934
PTPN6	-1.49	5	-0.42	0.336	5259	0.949	0.664	12743	0.934
FGFR1	-1.49	5	-0.42	0.336	5260	0.949	0.664	12742	0.934
HHLA2	-1.49	5	-0.42	0.336	5261	0.949	0.664	12741	0.934
ZNF28	-1.49	5	-0.42	0.336	5262	0.949	0.664	12740	0.934
GRIK1	-1.49	5	-0.42	0.336	5263	0.949	0.664	12739	0.934
REEP4	-1.49	5	-0.42	0.336	5264	0.949	0.664	12738	0.934
DUSP12	-1.49	5	-0.42	0.337	5265	0.949	0.663	12737	0.934
SERHL2	-1.49	5	-0.42	0.337	5266	0.949	0.663	12736	0.934
GOPC	-1.49	5	-0.42	0.337	5267	0.949	0.663	12735	0.934
COPS6	-1.49	5	-0.42	0.337	5268	0.949	0.663	12734	0.934
TGIF2	-1.48	5	-0.42	0.337	5269	0.949	0.663	12733	0.934
COL8A1	-1.48	5	-0.42	0.337	5270	0.949	0.663	12732	0.934
LOC152586	-1.33	4	-0.42	0.337	5271	0.949	0.663	12731	0.934
HMGN1	-0.66	1	-0.42	0.337	5272	0.949	0.663	12730	0.934
SARS	-1.33	4	-0.42	0.337	5273	0.949	0.663	12729	0.934
TUFT1	-1.48	5	-0.42	0.337	5274	0.949	0.663	12728	0.934
CKMT2	-1.48	5	-0.42	0.337	5275	0.949	0.663	12727	0.934
GH2	-1.48	5	-0.42	0.337	5276	0.949	0.663	12726	0.934
PALM2	-1.48	5	-0.42	0.337	5277	0.949	0.663	12725	0.934
KRT18	-1.33	4	-0.42	0.337	5278	0.949	0.663	12724	0.934
SYCP1	-1.48	5	-0.42	0.337	5279	0.949	0.663	12723	0.934
GIT1	-1.48	5	-0.42	0.337	5280	0.949	0.663	12722	0.934
CXCR5	-1.48	5	-0.42	0.337	5281	0.949	0.663	12721	0.934
LDB1	-1.48	5	-0.42	0.337	5282	0.949	0.663	12720	0.934
ZNF736	-1.32	4	-0.42	0.337	5283	0.949	0.663	12719	0.934
MCM3	-1.48	5	-0.42	0.338	5284	0.949	0.662	12718	0.934
WNK1	-1.48	5	-0.42	0.338	5285	0.949	0.662	12717	0.934
CD63	-1.48	5	-0.42	0.338	5286	0.949	0.662	12716	0.934
EID3	-1.48	5	-0.42	0.338	5287	0.949	0.662	12715	0.934
ESD	-1.48	5	-0.42	0.338	5288	0.949	0.662	12714	0.934
ADRB3	-1.48	5	-0.42	0.338	5289	0.949	0.662	12713	0.934
ATXN1	-1.48	5	-0.42	0.338	5290	0.949	0.662	12712	0.934
HMGB2	-1.48	5	-0.42	0.338	5291	0.949	0.662	12711	0.934
LYZL4	-1.48	5	-0.42	0.338	5292	0.949	0.662	12710	0.934
CDCA3	-1.32	4	-0.42	0.338	5293	0.949	0.662	12709	0.934
PRSS33	-1.48	5	-0.42	0.338	5294	0.949	0.662	12708	0.934
HIP1R	-1.48	5	-0.42	0.338	5295	0.949	0.662	12707	0.934
DMRTC1	-1.32	4	-0.42	0.338	5296	0.949	0.662	12706	0.934
ULK4	-1.48	5	-0.42	0.338	5297	0.949	0.662	12705	0.934
HNRNPUL2	-1.48	5	-0.42	0.338	5298	0.949	0.662	12704	0.934
NCALD	-1.48	5	-0.42	0.338	5299	0.949	0.662	12703	0.934
COASY	-1.48	5	-0.42	0.338	5300	0.949	0.662	12702	0.934
GIT2	-1.48	5	-0.42	0.338	5301	0.949	0.662	12701	0.934
PIP	-1.48	5	-0.42	0.338	5302	0.949	0.662	12700	0.934
ISM2	-1.48	5	-0.42	0.338	5303	0.949	0.662	12699	0.934
HIATL1	-1.48	5	-0.42	0.338	5304	0.949	0.662	12698	0.934
TRMU	-1.47	5	-0.42	0.338	5305	0.949	0.662	12697	0.934
CERCAM	-1.47	5	-0.42	0.338	5306	0.949	0.662	12696	0.934
FAM217B	-1.47	5	-0.42	0.338	5307	0.949	0.662	12695	0.934
TTBK2	-1.47	5	-0.42	0.338	5308	0.949	0.662	12694	0.934
FUBP3	-1.47	5	-0.42	0.339	5309	0.949	0.661	12693	0.934
PAQR9	-1.47	5	-0.42	0.339	5310	0.949	0.661	12692	0.934
RTP2	-1.47	5	-0.42	0.339	5311	0.949	0.661	12691	0.934
ELOVL2	-1.32	4	-0.42	0.339	5312	0.949	0.661	12690	0.934
FRRS1	-1.47	5	-0.42	0.339	5313	0.949	0.661	12689	0.934
RHOG	-1.47	5	-0.42	0.339	5314	0.949	0.661	12688	0.934
ZNF737	-1.32	4	-0.42	0.339	5315	0.949	0.661	12687	0.934
QRICH1	-1.47	5	-0.41	0.339	5316	0.949	0.661	12686	0.934
TMEM167B	-1.31	4	-0.41	0.339	5317	0.949	0.661	12685	0.934
HEG1	-1.47	5	-0.41	0.339	5318	0.949	0.661	12684	0.934
DDX43	-1.47	5	-0.41	0.339	5319	0.949	0.661	12683	0.934
CCIN	-1.47	5	-0.41	0.339	5320	0.949	0.661	12682	0.934
EFCAB9	-1.47	5	-0.41	0.339	5321	0.949	0.661	12681	0.934
PGAP3	-1.47	5	-0.41	0.339	5322	0.949	0.661	12680	0.934
STAM2	-1.47	5	-0.41	0.339	5323	0.949	0.661	12679	0.934
REN	-1.47	5	-0.41	0.339	5324	0.949	0.661	12678	0.934
RGS3	-2.71	17	-0.41	0.339	5325	0.949	0.661	12677	0.934
TSR2	-1.47	5	-0.41	0.339	5326	0.949	0.661	12676	0.934
CD69	-1.47	5	-0.41	0.339	5327	0.949	0.661	12675	0.934
PHF2	-1.47	5	-0.41	0.34	5328	0.949	0.66	12674	0.934
IGDCC4	-1.47	5	-0.41	0.34	5329	0.949	0.66	12673	0.934
SAFB	-1.47	5	-0.41	0.34	5330	0.949	0.66	12672	0.934
RDH10	-1.47	5	-0.41	0.34	5331	0.949	0.66	12671	0.934
PCDHB10	-1.31	4	-0.41	0.34	5332	0.949	0.66	12670	0.934
PTPN12	-1.31	4	-0.41	0.34	5333	0.949	0.66	12669	0.934
MITD1	-1.46	5	-0.41	0.34	5334	0.949	0.66	12668	0.934
TIMM8B	-1.46	5	-0.41	0.34	5335	0.949	0.66	12667	0.934
TUBB2A	-1.13	3	-0.41	0.34	5336	0.949	0.66	12666	0.934
AMN	-1.31	4	-0.41	0.34	5337	0.949	0.66	12665	0.934
GABBR2	-1.46	5	-0.41	0.34	5338	0.949	0.66	12664	0.934
TRIM9	-1.46	5	-0.41	0.34	5339	0.949	0.66	12663	0.934
NDUFS1	-1.46	5	-0.41	0.34	5340	0.949	0.66	12662	0.934
IQCF2	-1.46	5	-0.41	0.34	5341	0.949	0.66	12661	0.934
MAP4	-1.73	7	-0.41	0.34	5342	0.949	0.66	12660	0.934
TMBIM4	-1.31	4	-0.41	0.34	5343	0.949	0.66	12659	0.934
DYDC1	-1.46	5	-0.41	0.341	5344	0.949	0.659	12658	0.934
GPSM2	-1.46	5	-0.41	0.341	5345	0.949	0.659	12657	0.934
MTMR11	-1.46	5	-0.41	0.341	5346	0.949	0.659	12656	0.934
KRBA2	-1.46	5	-0.41	0.341	5347	0.949	0.659	12655	0.934
TTLL5	-1.46	5	-0.41	0.341	5348	0.949	0.659	12654	0.934
AVPR2	-1.46	5	-0.41	0.341	5349	0.949	0.659	12653	0.934
ERP29	-1.60	6	-0.41	0.341	5350	0.949	0.659	12652	0.934
MYOZ2	-1.46	5	-0.41	0.341	5351	0.949	0.659	12651	0.934
PARP9	-1.46	5	-0.41	0.341	5352	0.949	0.659	12650	0.934
CCBL2	-1.46	5	-0.41	0.341	5353	0.949	0.659	12649	0.934
FAM185A	-1.46	5	-0.41	0.341	5354	0.949	0.659	12648	0.934
SLC24A1	-1.30	4	-0.41	0.341	5355	0.949	0.659	12647	0.934
BDKRB1	-1.46	5	-0.41	0.341	5356	0.949	0.659	12646	0.934
KCNA7	-1.46	5	-0.41	0.341	5357	0.949	0.659	12645	0.934
ADAMTS9	-1.46	5	-0.41	0.341	5358	0.949	0.659	12644	0.934
CD44	-1.46	5	-0.41	0.341	5359	0.949	0.659	12643	0.934
TMSB15A	-0.92	2	-0.41	0.341	5360	0.949	0.659	12642	0.934
C8B	-1.45	5	-0.41	0.341	5361	0.949	0.659	12641	0.934
IRF2BP1	-1.45	5	-0.41	0.341	5362	0.949	0.659	12640	0.934
LCE4A	-1.45	5	-0.41	0.341	5363	0.949	0.659	12639	0.934
TGIF1	-1.45	5	-0.41	0.342	5364	0.949	0.658	12638	0.934
CRYZ	-1.95	9	-0.41	0.342	5365	0.949	0.658	12637	0.934
ANKRD27	-1.45	5	-0.41	0.342	5366	0.949	0.658	12636	0.934
GGTLC1	-1.30	4	-0.41	0.342	5367	0.949	0.658	12635	0.934
AKIP1	-1.45	5	-0.41	0.342	5368	0.949	0.658	12634	0.934
NVL	-1.45	5	-0.41	0.342	5369	0.949	0.658	12633	0.934
LSG1	-1.45	5	-0.41	0.342	5370	0.949	0.658	12632	0.934
CYSLTR1	-1.45	5	-0.41	0.342	5371	0.949	0.658	12631	0.934
SLC9B1	-1.12	3	-0.41	0.342	5372	0.949	0.658	12630	0.934
PPP1R3D	-1.45	5	-0.41	0.342	5373	0.949	0.658	12629	0.934
ABR	-2.15	11	-0.41	0.342	5374	0.949	0.658	12628	0.934
TNK2	-1.45	5	-0.41	0.342	5375	0.949	0.658	12627	0.934
VPS8	-1.45	5	-0.41	0.342	5376	0.949	0.658	12626	0.934
UEVLD	-1.45	5	-0.41	0.342	5377	0.949	0.658	12625	0.934
ALYREF	-1.45	5	-0.41	0.342	5378	0.949	0.658	12624	0.934
CCNB1IP1	-1.45	5	-0.41	0.342	5379	0.949	0.658	12623	0.934
FAM92A1	-1.45	5	-0.41	0.342	5380	0.949	0.658	12622	0.934
ZSCAN23	-1.45	5	-0.41	0.342	5381	0.949	0.658	12621	0.934
KRTAP21-1	-1.12	3	-0.41	0.342	5382	0.949	0.658	12620	0.934
GLRA1	-1.45	5	-0.41	0.342	5383	0.949	0.658	12619	0.934
C17orf70	-1.45	5	-0.41	0.343	5384	0.949	0.657	12618	0.934
PLG	-1.83	8	-0.41	0.343	5385	0.949	0.657	12617	0.934
CHD3	-1.44	5	-0.41	0.343	5386	0.949	0.657	12616	0.934
SCGB1C1	-1.44	5	-0.41	0.343	5387	0.949	0.657	12615	0.934
SLPI	-1.44	5	-0.41	0.343	5388	0.949	0.657	12614	0.934
ACOX1	-1.44	5	-0.40	0.343	5389	0.949	0.657	12613	0.934
PDZRN4	-1.44	5	-0.40	0.343	5390	0.949	0.657	12612	0.934
ARG2	-1.44	5	-0.40	0.343	5391	0.949	0.657	12611	0.934
C1orf172	-1.44	5	-0.40	0.343	5392	0.949	0.657	12610	0.934
SPDYA	-1.44	5	-0.40	0.343	5393	0.949	0.657	12609	0.934
MOS	-1.44	5	-0.40	0.343	5394	0.949	0.657	12608	0.934
CYTH2	-1.44	5	-0.40	0.343	5395	0.949	0.657	12607	0.934
TCEB1	-1.12	3	-0.40	0.343	5396	0.949	0.657	12606	0.934
KANK3	-1.44	5	-0.40	0.343	5397	0.949	0.657	12605	0.934
STK10	-1.29	4	-0.40	0.343	5398	0.949	0.657	12604	0.934
C9orf85	-1.44	5	-0.40	0.343	5399	0.949	0.657	12603	0.934
DDX52	-1.44	5	-0.40	0.343	5400	0.949	0.657	12602	0.934
MS4A15	-1.44	5	-0.40	0.343	5401	0.949	0.657	12601	0.934
DCAF4L1	-1.44	5	-0.40	0.343	5402	0.949	0.657	12600	0.934
ELMO3	-1.44	5	-0.40	0.343	5403	0.949	0.657	12599	0.934
LCORL	-1.44	5	-0.40	0.343	5404	0.949	0.657	12598	0.934
DGUOK	-1.44	5	-0.40	0.343	5405	0.949	0.657	12597	0.934
NFKB2	-1.44	5	-0.40	0.343	5406	0.949	0.657	12596	0.934
PRSS55	-1.44	5	-0.40	0.343	5407	0.949	0.657	12595	0.934
VIPAS39	-1.44	5	-0.40	0.343	5408	0.949	0.657	12594	0.934
TMEM134	-1.44	5	-0.40	0.343	5409	0.949	0.657	12593	0.934
TMEM242	-1.29	4	-0.40	0.344	5410	0.949	0.656	12592	0.934
CDH5	-1.29	4	-0.40	0.344	5411	0.949	0.656	12591	0.934
MICU2	-1.44	5	-0.40	0.344	5412	0.949	0.656	12590	0.934
TGFBR3L	-1.29	4	-0.40	0.344	5413	0.949	0.656	12589	0.934
BSN	-1.44	5	-0.40	0.344	5414	0.949	0.656	12588	0.934
JARID2	-1.44	5	-0.40	0.344	5415	0.949	0.656	12587	0.934
NABP2	-1.44	5	-0.40	0.344	5416	0.949	0.656	12586	0.934
ALOX15	-1.44	5	-0.40	0.344	5417	0.949	0.656	12585	0.934
NFRKB	-1.44	5	-0.40	0.344	5418	0.949	0.656	12584	0.934
TMEM202	-1.44	5	-0.40	0.344	5419	0.949	0.656	12583	0.934
FANCM	-1.43	5	-0.40	0.344	5420	0.949	0.656	12582	0.934
CLDN5	-1.43	5	-0.40	0.344	5421	0.949	0.656	12581	0.934
ZNF860	-1.28	4	-0.40	0.344	5422	0.949	0.656	12580	0.934
MRPS35	-1.28	4	-0.40	0.344	5423	0.949	0.656	12579	0.934
ZRANB1	-1.43	5	-0.40	0.344	5424	0.949	0.656	12578	0.934
USP4	-1.43	5	-0.40	0.344	5425	0.949	0.656	12577	0.934
CLOCK	-1.43	5	-0.40	0.344	5426	0.949	0.656	12576	0.934
PRKCDBP	-1.43	5	-0.40	0.345	5427	0.949	0.655	12575	0.934
H1FNT	-1.43	5	-0.40	0.345	5428	0.949	0.655	12574	0.934
MAGEB6	-1.43	5	-0.40	0.345	5429	0.949	0.655	12573	0.934
XYLT1	-1.43	5	-0.40	0.345	5430	0.949	0.655	12572	0.934
CCDC66	-1.43	5	-0.40	0.345	5431	0.949	0.655	12571	0.934
LHX8	-1.28	4	-0.40	0.345	5432	0.949	0.655	12570	0.934
DYNC2LI1	-1.28	4	-0.40	0.345	5433	0.949	0.655	12569	0.934
C19orf70	-1.43	5	-0.40	0.345	5434	0.949	0.655	12568	0.934
DAB2	-1.43	5	-0.40	0.345	5435	0.949	0.655	12567	0.934
CENPU	-1.43	5	-0.40	0.345	5436	0.949	0.655	12566	0.934
RBM6	-1.43	5	-0.40	0.345	5437	0.949	0.655	12565	0.934
MRPS36	-1.43	5	-0.40	0.345	5438	0.949	0.655	12564	0.934
SLC6A7	-1.43	5	-0.40	0.345	5439	0.949	0.655	12563	0.934
TGM2	-1.42	5	-0.40	0.345	5440	0.949	0.655	12562	0.934
ARL15	-1.42	5	-0.40	0.345	5441	0.949	0.655	12561	0.934
RNPC3	-1.42	5	-0.40	0.346	5442	0.949	0.654	12560	0.934
INPP5J	-1.42	5	-0.40	0.346	5443	0.949	0.654	12559	0.934
LNX1	-1.42	5	-0.40	0.346	5444	0.949	0.654	12558	0.934
LPPR2	-1.42	5	-0.40	0.346	5445	0.949	0.654	12557	0.934
RPRD2	-1.42	5	-0.40	0.346	5446	0.949	0.654	12556	0.934
KCNS2	-1.42	5	-0.40	0.346	5447	0.949	0.654	12555	0.934
TMCO5A	-1.42	5	-0.40	0.346	5448	0.949	0.654	12554	0.934
CHRNG	-1.42	5	-0.40	0.346	5449	0.949	0.654	12553	0.934
XRCC2	-1.42	5	-0.40	0.346	5450	0.949	0.654	12552	0.934
SEZ6L2	-1.42	5	-0.40	0.346	5451	0.949	0.654	12551	0.934
EPM2AIP1	-1.42	5	-0.40	0.346	5452	0.949	0.654	12550	0.934
CCDC115	-1.42	5	-0.40	0.346	5453	0.949	0.654	12549	0.934
MYH14	-1.42	5	-0.40	0.346	5454	0.949	0.654	12548	0.934
TULP3	-1.42	5	-0.40	0.346	5455	0.949	0.654	12547	0.934
ABCD2	-1.42	5	-0.40	0.346	5456	0.949	0.654	12546	0.934
ANKS6	-1.42	5	-0.40	0.346	5457	0.949	0.654	12545	0.934
CCBL1	-1.42	5	-0.40	0.346	5458	0.949	0.654	12544	0.934
TAF6	-1.42	5	-0.39	0.346	5459	0.949	0.654	12543	0.934
TSEN15	-1.42	5	-0.39	0.347	5460	0.949	0.653	12542	0.934
ANKRD16	-1.42	5	-0.39	0.347	5461	0.949	0.653	12541	0.934
KRT9	-1.42	5	-0.39	0.347	5462	0.949	0.653	12540	0.934
TIFA	-1.42	5	-0.39	0.347	5463	0.949	0.653	12539	0.934
MMP2	-1.42	5	-0.39	0.347	5464	0.949	0.653	12538	0.934
ADCY5	-1.42	5	-0.39	0.347	5465	0.949	0.653	12537	0.934
LEPREL4	-1.42	5	-0.39	0.347	5466	0.949	0.653	12536	0.934
ZNF581	-1.27	4	-0.39	0.347	5467	0.949	0.653	12535	0.934
AVIL	-1.42	5	-0.39	0.347	5468	0.949	0.653	12534	0.934
CBY3	-1.42	5	-0.39	0.347	5469	0.949	0.653	12533	0.934
CBR3	-1.42	5	-0.39	0.347	5470	0.949	0.653	12532	0.934
CAPS2	-1.42	5	-0.39	0.347	5471	0.949	0.653	12531	0.934
SLC34A1	-1.41	5	-0.39	0.347	5472	0.949	0.653	12530	0.934
RAB8B	-1.26	4	-0.39	0.347	5473	0.949	0.653	12529	0.934
SH3BGRL3	-1.41	5	-0.39	0.347	5474	0.949	0.653	12528	0.934
IFT122	-1.41	5	-0.39	0.347	5475	0.949	0.653	12527	0.934
MRPL45	-1.41	5	-0.39	0.347	5476	0.949	0.653	12526	0.934
SNCA	-1.55	6	-0.39	0.347	5477	0.949	0.653	12525	0.934
MGAT4C	-1.41	5	-0.39	0.347	5478	0.949	0.653	12524	0.934
LPL	-1.41	5	-0.39	0.347	5479	0.949	0.653	12523	0.934
CEP170	-1.41	5	-0.39	0.347	5480	0.949	0.653	12522	0.934
ATXN7L2	-1.41	5	-0.39	0.347	5481	0.949	0.653	12521	0.934
DYNLRB1	-1.41	5	-0.39	0.348	5482	0.949	0.652	12520	0.934
UBA5	-1.41	5	-0.39	0.348	5483	0.949	0.652	12519	0.934
ANTXRL	-1.41	5	-0.39	0.348	5484	0.949	0.652	12518	0.934
CXXC1	-1.41	5	-0.39	0.348	5485	0.949	0.652	12517	0.934
CLEC12A	-1.41	5	-0.39	0.348	5486	0.949	0.652	12516	0.934
TMEM39B	-1.41	5	-0.39	0.348	5487	0.949	0.652	12515	0.934
ZNF202	-1.41	5	-0.39	0.348	5488	0.949	0.652	12514	0.934
FBRSL1	-1.26	4	-0.39	0.348	5489	0.949	0.652	12513	0.934
FNTB	-1.41	5	-0.39	0.348	5490	0.949	0.652	12512	0.934
CTSW	-1.41	5	-0.39	0.348	5491	0.949	0.652	12511	0.934
PTRF	-1.26	4	-0.39	0.348	5492	0.949	0.652	12510	0.934
PRDX1	-1.41	5	-0.39	0.348	5493	0.949	0.652	12509	0.934
IL10RA	-1.41	5	-0.39	0.348	5494	0.949	0.652	12508	0.934
ARFGAP1	-1.41	5	-0.39	0.348	5495	0.949	0.652	12507	0.934
GGT7	-1.40	5	-0.39	0.348	5496	0.949	0.652	12506	0.934
USP6	-1.40	5	-0.39	0.348	5497	0.949	0.652	12505	0.934
MZT2A	-0.89	2	-0.39	0.348	5498	0.949	0.652	12504	0.934
GAPT	-1.40	5	-0.39	0.348	5499	0.949	0.652	12503	0.934
PRKG1	-1.25	4	-0.39	0.349	5500	0.949	0.651	12502	0.934
ZNF749	-1.40	5	-0.39	0.349	5501	0.949	0.651	12501	0.934
SHOX2	-1.40	5	-0.39	0.349	5502	0.949	0.651	12500	0.934
MX1	-1.40	5	-0.39	0.349	5503	0.949	0.651	12499	0.934
ZNF837	-1.40	5	-0.39	0.349	5504	0.949	0.651	12498	0.934
ZNF83	-1.40	5	-0.39	0.349	5505	0.949	0.651	12497	0.934
KRTAP13-3	-1.25	4	-0.39	0.349	5506	0.949	0.651	12496	0.934
PHOX2A	-1.40	5	-0.39	0.349	5507	0.949	0.651	12495	0.934
VILL	-1.40	5	-0.39	0.349	5508	0.949	0.651	12494	0.934
AGAP6	-0.89	2	-0.39	0.349	5509	0.949	0.651	12493	0.934
DENND4A	-1.25	4	-0.39	0.349	5510	0.949	0.651	12492	0.934
PTPLA	-1.40	5	-0.39	0.349	5511	0.949	0.651	12491	0.934
PTPN23	-1.40	5	-0.39	0.349	5512	0.949	0.651	12490	0.934
VBP1	-1.40	5	-0.39	0.349	5513	0.949	0.651	12489	0.934
ERCC6L2	-1.40	5	-0.39	0.349	5514	0.949	0.651	12488	0.934
SPOCD1	-1.40	5	-0.39	0.349	5515	0.949	0.651	12487	0.934
EXOSC9	-1.40	5	-0.39	0.349	5516	0.949	0.651	12486	0.934
FN3KRP	-1.40	5	-0.39	0.349	5517	0.949	0.651	12485	0.934
ASCC3	-1.65	7	-0.39	0.349	5518	0.949	0.651	12484	0.934
ATG2B	-1.40	5	-0.39	0.349	5519	0.949	0.651	12483	0.934
KRTDAP	-1.65	7	-0.39	0.349	5520	0.949	0.651	12482	0.934
